"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"L_at_Amin_Fem_GP_1" 1 "L_at_Amin_Fem_GP_1" 78.1749 1 7 5 100 77.3185 77.3185 "OK" 6.63937 -9.0225e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"L_at_Amax_Fem_GP_1" 2 "L_at_Amax_Fem_GP_1" 217.389 2 6 50 600 219.161 219.161 "OK" 2.51777 -8.34517e-06 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"VonBert_K_Fem_GP_1" 3 "VonBert_K_Fem_GP_1" 0.467793 3 8 0.01 0.99 0.461432 0.461432 "OK" 0.0332197 -7.05617e-07 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD_young_Fem_GP_1" 4 "SD_young_Fem_GP_1" 9.9314 NA -2 0.01 20 9.9314 9.9314 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD_old_Fem_GP_1" 5 "SD_old_Fem_GP_1" 11.0517 NA -3 0.01 20 11.0517 11.0517 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Wtlen_1_Fem_GP_1" 6 "Wtlen_1_Fem_GP_1" 5.39942e-07 NA -3 -3 3 5.39942e-07 5.39942e-07 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Wtlen_2_Fem_GP_1" 7 "Wtlen_2_Fem_GP_1" 3.58378 NA -3 -3 5 3.58378 3.58378 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mat50%_Fem_GP_1" 8 "Mat50%_Fem_GP_1" 181.205 NA -3 1 300 181.205 181.205 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mat_slope_Fem_GP_1" 9 "Mat_slope_Fem_GP_1" -0.197458 NA -3 -200 3 -0.197458 -0.197458 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Eggs_scalar_Fem_GP_1" 10 "Eggs_scalar_Fem_GP_1" 1 NA -3 -3 20 1 1 NA NA NA "Normal" 1 0.5 0 1 1 1 -2.77 -0.7 1.6 3.9 6.2 8.5 10.8 13.1 15.4 17.7 19.77 0 0 0 28.4258 5.78 0.72 16.82 54.08 112.5 192.08 292.82 414.72 557.78 704.626
"Eggs_exp_wt_Fem_GP_1" 11 "Eggs_exp_wt_Fem_GP_1" 1 NA -3 -3 3 1 1 NA NA NA "Normal" 1 0.5 0 1 1 1 -2.94 -2.4 -1.8 -1.2 -0.6 0 0.6 1.2 1.8 2.4 2.94 0 0 0 31.0472 23.12 15.68 9.68 5.12 2 0.32 0.08 1.28 3.92 7.5272
"CohortGrowDev" 12 "CohortGrowDev" 1 NA -1 0.1 10 1 1 NA NA NA "Normal" 1 1 0 1 1 1 0.199 1.09 2.08 3.07 4.06 5.05 6.04 7.03 8.02 9.01 9.901 0 0 0 0.3208 0.00405 0.5832 2.14245 4.6818 8.20125 12.7008 18.1804 24.6402 32.08 39.6139
"FracFemale_GP_1" 13 "FracFemale_GP_1" 0.5 NA -99 1e-06 0.999999 0.5 0.5 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_LN(R0)" 14 "SR_LN(R0)" 5.05911 4 1 2 15 5.07803 5.07803 "OK" 0.0288047 -1.27318e-05 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_BH_steep" 15 "SR_BH_steep" 0.8 NA -2 0.2 0.99 0.8 0.8 NA NA NA "Normal" 0.8 1000 0 0.8 0.8 0.8 0.2079 0.279 0.358 0.437 0.516 0.595 0.674 0.753 0.832 0.911 0.9821 0 0 0 1.75291e-07 1.3572e-07 9.7682e-08 6.58845e-08 4.0328e-08 2.10125e-08 7.938e-09 1.1045e-09 5.12e-10 6.1605e-09 1.65802e-08
"SR_sigmaR" 16 "SR_sigmaR" 0.2 NA -4 0.05 1.9 0.2 0.2 NA NA NA "Normal" 0.2 1000 0 0.2 0.2 0.2 0.0685 0.235 0.42 0.605 0.79 0.975 1.16 1.345 1.53 1.715 1.8815 0 0 0 8.64613e-09 6.125e-10 2.42e-08 8.20125e-08 1.7405e-07 3.00312e-07 4.608e-07 6.55512e-07 8.8445e-07 1.14761e-06 1.41372e-06
"SR_regime" 17 "SR_regime" 0 NA -1 -4 4 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_autocorr" 18 "SR_autocorr" 0 NA -1 0 0 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_10" 19 "Early_InitAge_10" -0.0127974 5 2 -5 5 0 0 "act" 0.199046 1.70599e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_9" 20 "Early_InitAge_9" -0.00482662 6 2 -5 5 0 0 "act" 0.199572 3.62574e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_8" 21 "Early_InitAge_8" -0.00507616 7 2 -5 5 0 0 "act" 0.199575 1.33876e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_7" 22 "Early_InitAge_7" -0.00324366 8 2 -5 5 0 0 "act" 0.199754 -4.56063e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_6" 23 "Early_InitAge_6" 0.00322435 9 2 -5 5 0 0 "act" 0.200238 -5.01863e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_5" 24 "Early_InitAge_5" 0.01697 10 2 -5 5 0 0 "act" 0.201011 -3.29208e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_4" 25 "Early_InitAge_4" 0.0324138 11 2 -5 5 0 0 "act" 0.201429 -5.90528e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_3" 26 "Early_InitAge_3" 0.0294903 12 2 -5 5 0 0 "act" 0.200698 9.81858e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_2" 27 "Early_InitAge_2" 0.0238567 13 2 -5 5 0 0 "act" 0.200148 -9.3454e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_1" 28 "Early_InitAge_1" 0.0327246 14 2 -5 5 0 0 "act" 0.200571 -2.34092e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1952" 29 "Main_RecrDev_1952" 0.0503482 15 1 -5 5 0 0 "act" 0.198841 -8.83379e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1953" 30 "Main_RecrDev_1953" 0.0464982 16 1 -5 5 0 0 "act" 0.197884 -5.38035e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1954" 31 "Main_RecrDev_1954" 0.034847 17 1 -5 5 0 0 "act" 0.196446 -3.89177e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1955" 32 "Main_RecrDev_1955" 0.0312221 18 1 -5 5 0 0 "act" 0.195484 1.17662e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1956" 33 "Main_RecrDev_1956" 0.0432359 19 1 -5 5 0 0 "act" 0.196568 1.71577e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1957" 34 "Main_RecrDev_1957" 0.070013 20 1 -5 5 0 0 "act" 0.198239 4.52551e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1958" 35 "Main_RecrDev_1958" 0.0865396 21 1 -5 5 0 0 "act" 0.197588 6.05423e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1959" 36 "Main_RecrDev_1959" 0.0763123 22 1 -5 5 0 0 "act" 0.198097 -2.53445e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1960" 37 "Main_RecrDev_1960" 0.0900217 23 1 -5 5 0 0 "act" 0.196815 -2.07776e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1961" 38 "Main_RecrDev_1961" 0.0620568 24 1 -5 5 0 0 "act" 0.195133 7.1629e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1962" 39 "Main_RecrDev_1962" 0.0269426 25 1 -5 5 0 0 "act" 0.194811 2.75618e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1963" 40 "Main_RecrDev_1963" 0.02811 26 1 -5 5 0 0 "act" 0.194647 -3.90861e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1964" 41 "Main_RecrDev_1964" 0.0232441 27 1 -5 5 0 0 "act" 0.194943 2.69006e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
