"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"L_at_Amin_Fem_GP_1" 1 "L_at_Amin_Fem_GP_1" 76.8513 1 7 5 100 77.3185 77.3185 "OK" 6.52233 2.20693e-06 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"L_at_Amax_Fem_GP_1" 2 "L_at_Amax_Fem_GP_1" 219.246 2 6 50 600 219.161 219.161 "OK" 2.98726 -6.0066e-05 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"VonBert_K_Fem_GP_1" 3 "VonBert_K_Fem_GP_1" 0.462407 3 8 0.01 0.99 0.461432 0.461432 "OK" 0.0344589 -2.67695e-06 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD_young_Fem_GP_1" 4 "SD_young_Fem_GP_1" 9.9314 NA -2 0.01 20 9.9314 9.9314 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SD_old_Fem_GP_1" 5 "SD_old_Fem_GP_1" 11.0517 NA -3 0.01 20 11.0517 11.0517 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Wtlen_1_Fem_GP_1" 6 "Wtlen_1_Fem_GP_1" 5.39942e-07 NA -3 -3 3 5.39942e-07 5.39942e-07 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Wtlen_2_Fem_GP_1" 7 "Wtlen_2_Fem_GP_1" 3.58378 NA -3 -3 5 3.58378 3.58378 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mat50%_Fem_GP_1" 8 "Mat50%_Fem_GP_1" 181.205 NA -3 1 300 181.205 181.205 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Mat_slope_Fem_GP_1" 9 "Mat_slope_Fem_GP_1" -0.197458 NA -3 -200 3 -0.197458 -0.197458 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Eggs_scalar_Fem_GP_1" 10 "Eggs_scalar_Fem_GP_1" 1 NA -3 -3 20 1 1 NA NA NA "Normal" 1 0.5 0 1 1 1 -2.77 -0.7 1.6 3.9 6.2 8.5 10.8 13.1 15.4 17.7 19.77 0 0 0 28.4258 5.78 0.72 16.82 54.08 112.5 192.08 292.82 414.72 557.78 704.626
"Eggs_exp_wt_Fem_GP_1" 11 "Eggs_exp_wt_Fem_GP_1" 1 NA -3 -3 3 1 1 NA NA NA "Normal" 1 0.5 0 1 1 1 -2.94 -2.4 -1.8 -1.2 -0.6 0 0.6 1.2 1.8 2.4 2.94 0 0 0 31.0472 23.12 15.68 9.68 5.12 2 0.32 0.08 1.28 3.92 7.5272
"CohortGrowDev" 12 "CohortGrowDev" 1 NA -1 0.1 10 1 1 NA NA NA "Normal" 1 1 0 1 1 1 0.199 1.09 2.08 3.07 4.06 5.05 6.04 7.03 8.02 9.01 9.901 0 0 0 0.3208 0.00405 0.5832 2.14245 4.6818 8.20125 12.7008 18.1804 24.6402 32.08 39.6139
"FracFemale_GP_1" 13 "FracFemale_GP_1" 0.5 NA -99 1e-06 0.999999 0.5 0.5 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_LN(R0)" 14 "SR_LN(R0)" 5.08084 4 1 2 15 5.07803 5.07803 "OK" 0.0264361 -0.000149041 "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_BH_steep" 15 "SR_BH_steep" 0.8 NA -2 0.2 0.99 0.8 0.8 NA NA NA "Normal" 0.8 1000 0 0.8 0.8 0.8 0.2079 0.279 0.358 0.437 0.516 0.595 0.674 0.753 0.832 0.911 0.9821 0 0 0 1.75291e-07 1.3572e-07 9.7682e-08 6.58845e-08 4.0328e-08 2.10125e-08 7.938e-09 1.1045e-09 5.12e-10 6.1605e-09 1.65802e-08
