"Num" "Label" "Value" "Active_Cnt" "Phase" "Min" "Max" "Init" "Used" "Status" "Parm_StDev" "Gradient" "Pr_type" "Prior" "Pr_SD" "Pr_Like" "Value_again" "Value-1.96*SD" "Value+1.96*SD" "V_1%" "V_10%" "V_20%" "V_30%" "V_40%" "V_50%" "V_60%" "V_70%" "V_80%" "V_90%" "V_99%" "P_val" "P_lowCI" "P_hiCI" "P_1%" "P_10%" "P_20%" "P_30%" "P_40%" "P_50%" "P_60%" "P_70%" "P_80%" "P_90%" "P_99%"
"SR_BH_steep" 15 "SR_BH_steep" 0.8 NA -2 0.2 0.99 0.8 0.8 NA NA NA "Normal" 0.8 1000 0 0.8 0.8 0.8 0.2079 0.279 0.358 0.437 0.516 0.595 0.674 0.753 0.832 0.911 0.9821 0 0 0 1.75291e-07 1.3572e-07 9.7682e-08 6.58845e-08 4.0328e-08 2.10125e-08 7.938e-09 1.1045e-09 5.12e-10 6.1605e-09 1.65802e-08
"SR_sigmaR" 16 "SR_sigmaR" 0.2 NA -4 0.05 1.9 0.2 0.2 NA NA NA "Normal" 0.2 1000 0 0.2 0.2 0.2 0.0685 0.235 0.42 0.605 0.79 0.975 1.16 1.345 1.53 1.715 1.8815 0 0 0 8.64613e-09 6.125e-10 2.42e-08 8.20125e-08 1.7405e-07 3.00312e-07 4.608e-07 6.55512e-07 8.8445e-07 1.14761e-06 1.41372e-06
"SR_regime" 17 "SR_regime" 0 NA -1 -4 4 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SR_autocorr" 18 "SR_autocorr" 0 NA -1 0 0 0 0 NA NA NA "No_prior" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_10" 19 "Early_InitAge_10" 0.0125956 2 2 -5 5 0 0 "act" 0.201144 -1.15305e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_9" 20 "Early_InitAge_9" 0.0054315 3 2 -5 5 0 0 "act" 0.200522 1.99554e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_8" 21 "Early_InitAge_8" 0.00784263 4 2 -5 5 0 0 "act" 0.200741 2.03763e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_7" 22 "Early_InitAge_7" 0.0114137 5 2 -5 5 0 0 "act" 0.201052 6.77074e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_6" 23 "Early_InitAge_6" 0.0168659 6 2 -5 5 0 0 "act" 0.201504 -2.43104e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_5" 24 "Early_InitAge_5" 0.0256327 7 2 -5 5 0 0 "act" 0.202191 2.43489e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_4" 25 "Early_InitAge_4" 0.0403262 8 2 -5 5 0 0 "act" 0.203224 1.75029e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_3" 26 "Early_InitAge_3" 0.0612533 9 2 -5 5 0 0 "act" 0.204175 5.68933e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_2" 27 "Early_InitAge_2" 0.0696801 10 2 -5 5 0 0 "act" 0.203593 9.03721e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Early_InitAge_1" 28 "Early_InitAge_1" 0.085307 11 2 -5 5 0 0 "act" 0.203501 -6.98449e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1952" 29 "Main_RecrDev_1952" 0.138486 12 1 -5 5 0 0 "act" 0.20093 -1.03496e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1953" 30 "Main_RecrDev_1953" 0.16385 13 1 -5 5 0 0 "act" 0.197687 -1.62423e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1954" 31 "Main_RecrDev_1954" 0.130385 14 1 -5 5 0 0 "act" 0.19501 6.93946e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1955" 32 "Main_RecrDev_1955" 0.0892125 15 1 -5 5 0 0 "act" 0.194634 -0.000120188 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1956" 33 "Main_RecrDev_1956" 0.084226 16 1 -5 5 0 0 "act" 0.192891 -1.91398e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1957" 34 "Main_RecrDev_1957" 0.108871 17 1 -5 5 0 0 "act" 0.193269 2.54703e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1958" 35 "Main_RecrDev_1958" 0.130022 18 1 -5 5 0 0 "act" 0.193542 -4.05518e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1959" 36 "Main_RecrDev_1959" 0.149627 19 1 -5 5 0 0 "act" 0.191176 -9.08989e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1960" 37 "Main_RecrDev_1960" 0.139066 20 1 -5 5 0 0 "act" 0.191012 -1.51554e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1961" 38 "Main_RecrDev_1961" 0.162564 21 1 -5 5 0 0 "act" 0.18375 -8.07413e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1962" 39 "Main_RecrDev_1962" 0.106125 22 1 -5 5 0 0 "act" 0.186152 -9.41596e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1963" 40 "Main_RecrDev_1963" -0.00644448 23 1 -5 5 0 0 "act" 0.187748 -2.14455e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1964" 41 "Main_RecrDev_1964" 0.00164992 24 1 -5 5 0 0 "act" 0.18879 -7.08298e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1965" 42 "Main_RecrDev_1965" -0.0171688 25 1 -5 5 0 0 "act" 0.18881 2.02327e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1966" 43 "Main_RecrDev_1966" -0.0259219 26 1 -5 5 0 0 "act" 0.189224 -1.35041e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1967" 44 "Main_RecrDev_1967" -0.0380748 27 1 -5 5 0 0 "act" 0.189782 -8.65844e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1968" 45 "Main_RecrDev_1968" -0.02943 28 1 -5 5 0 0 "act" 0.188581 1.05802e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1969" 46 "Main_RecrDev_1969" -0.0125219 29 1 -5 5 0 0 "act" 0.18541 7.82832e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1970" 47 "Main_RecrDev_1970" -0.0535741 30 1 -5 5 0 0 "act" 0.180206 -4.58958e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1971" 48 "Main_RecrDev_1971" -0.0766786 31 1 -5 5 0 0 "act" 0.180792 -5.65352e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1972" 49 "Main_RecrDev_1972" -0.0256538 32 1 -5 5 0 0 "act" 0.18125 -5.66375e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1973" 50 "Main_RecrDev_1973" -0.0414709 33 1 -5 5 0 0 "act" 0.183936 2.52201e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1974" 51 "Main_RecrDev_1974" 0.0112889 34 1 -5 5 0 0 "act" 0.183907 -7.18418e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1975" 52 "Main_RecrDev_1975" -0.0877624 35 1 -5 5 0 0 "act" 0.182296 -6.86418e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1976" 53 "Main_RecrDev_1976" -0.113509 36 1 -5 5 0 0 "act" 0.179002 -7.80437e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1977" 54 "Main_RecrDev_1977" 0.0108944 37 1 -5 5 0 0 "act" 0.173131 -5.36724e-07 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1978" 55 "Main_RecrDev_1978" -0.0221992 38 1 -5 5 0 0 "act" 0.150518 7.73685e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1979" 56 "Main_RecrDev_1979" 0.157689 39 1 -5 5 0 0 "act" 0.140218 -4.69019e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1980" 57 "Main_RecrDev_1980" 0.191073 40 1 -5 5 0 0 "act" 0.133901 -3.65533e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1981" 58 "Main_RecrDev_1981" 0.0365416 41 1 -5 5 0 0 "act" 0.120828 -3.15912e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1982" 59 "Main_RecrDev_1982" -0.22604 42 1 -5 5 0 0 "act" 0.143495 -1.17822e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1983" 60 "Main_RecrDev_1983" -0.00650122 43 1 -5 5 0 0 "act" 0.136118 -5.04756e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1984" 61 "Main_RecrDev_1984" -0.287093 44 1 -5 5 0 0 "act" 0.138956 -2.91117e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1985" 62 "Main_RecrDev_1985" -0.205683 45 1 -5 5 0 0 "act" 0.132903 -9.09927e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1986" 63 "Main_RecrDev_1986" -0.419732 46 1 -5 5 0 0 "act" 0.14267 -1.02449e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1987" 64 "Main_RecrDev_1987" -0.0332122 47 1 -5 5 0 0 "act" 0.156905 0.000100783 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1988" 65 "Main_RecrDev_1988" 0.24023 48 1 -5 5 0 0 "act" 0.1541 -1.35136e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1989" 66 "Main_RecrDev_1989" -0.0712828 49 1 -5 5 0 0 "act" 0.155939 -7.13342e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1990" 67 "Main_RecrDev_1990" -0.0264972 50 1 -5 5 0 0 "act" 0.165042 9.49253e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1991" 68 "Main_RecrDev_1991" -0.00767796 51 1 -5 5 0 0 "act" 0.17382 -4.93265e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1992" 69 "Main_RecrDev_1992" 0.150925 52 1 -5 5 0 0 "act" 0.17669 -2.5116e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1993" 70 "Main_RecrDev_1993" 0.160354 53 1 -5 5 0 0 "act" 0.181538 0.000107927 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1994" 71 "Main_RecrDev_1994" 0.177666 54 1 -5 5 0 0 "act" 0.176305 -8.68549e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1995" 72 "Main_RecrDev_1995" 0.0225765 55 1 -5 5 0 0 "act" 0.173566 1.33934e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1996" 73 "Main_RecrDev_1996" 0.257159 56 1 -5 5 0 0 "act" 0.145494 -2.38132e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1997" 74 "Main_RecrDev_1997" 0.652631 57 1 -5 5 0 0 "act" 0.104767 -3.12972e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1998" 75 "Main_RecrDev_1998" 0.235435 58 1 -5 5 0 0 "act" 0.104548 5.58928e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_1999" 76 "Main_RecrDev_1999" 0.366693 59 1 -5 5 0 0 "act" 0.0929688 4.24543e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2000" 77 "Main_RecrDev_2000" 0.0254172 60 1 -5 5 0 0 "act" 0.0997834 4.833e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2001" 78 "Main_RecrDev_2001" -0.135393 61 1 -5 5 0 0 "act" 0.108643 -6.49845e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2002" 79 "Main_RecrDev_2002" 0.0904701 62 1 -5 5 0 0 "act" 0.113307 1.05781e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2003" 80 "Main_RecrDev_2003" -0.0820035 63 1 -5 5 0 0 "act" 0.150815 -5.61189e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2004" 81 "Main_RecrDev_2004" 0.0648652 64 1 -5 5 0 0 "act" 0.153393 -1.15865e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2005" 82 "Main_RecrDev_2005" 0.122473 65 1 -5 5 0 0 "act" 0.150903 1.85181e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2006" 83 "Main_RecrDev_2006" -0.156212 66 1 -5 5 0 0 "act" 0.152718 4.70903e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2007" 84 "Main_RecrDev_2007" 0.0499276 67 1 -5 5 0 0 "act" 0.161992 -4.84174e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2008" 85 "Main_RecrDev_2008" 0.0671637 68 1 -5 5 0 0 "act" 0.149398 5.62828e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2009" 86 "Main_RecrDev_2009" -0.1853 69 1 -5 5 0 0 "act" 0.148697 7.29246e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2010" 87 "Main_RecrDev_2010" -0.2536 70 1 -5 5 0 0 "act" 0.141414 6.32456e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2011" 88 "Main_RecrDev_2011" -0.344293 71 1 -5 5 0 0 "act" 0.13761 -2.64903e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2012" 89 "Main_RecrDev_2012" -0.226501 72 1 -5 5 0 0 "act" 0.141706 -4.25104e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2013" 90 "Main_RecrDev_2013" -0.175192 73 1 -5 5 0 0 "act" 0.119467 6.11359e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2014" 91 "Main_RecrDev_2014" -0.158975 74 1 -5 5 0 0 "act" 0.103473 2.23307e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2015" 92 "Main_RecrDev_2015" -0.234588 75 1 -5 5 0 0 "act" 0.107034 6.21874e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2016" 93 "Main_RecrDev_2016" -0.19145 76 1 -5 5 0 0 "act" 0.10967 -1.20661e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2017" 94 "Main_RecrDev_2017" -0.122528 77 1 -5 5 0 0 "act" 0.110412 6.61715e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2018" 95 "Main_RecrDev_2018" -0.343605 78 1 -5 5 0 0 "act" 0.114752 1.02973e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2019" 96 "Main_RecrDev_2019" -0.329781 79 1 -5 5 0 0 "act" 0.115116 5.40238e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2020" 97 "Main_RecrDev_2020" 0.136175 80 1 -5 5 0 0 "act" 0.124557 5.24737e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Main_RecrDev_2021" 98 "Main_RecrDev_2021" 0.14182 81 1 -5 5 0 0 "act" 0.165058 6.59865e-06 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Late_RecrDev_2022" 99 "Late_RecrDev_2022" 0.041445 82 6 -5 5 0 0 "act" 0.195892 -2.14639e-05 "dev" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
